disciplina;materia;dificuldade;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta_correta;justificativa;dica;formula
Língua Portuguesa;Interpretação de Texto;Fácil;Um dos maiores desafios no ambiente corporativo é a comunicação clara. Muitos projetos falham não por falta de competência técnica, mas por ruídos na transmissão de ideias. A assertividade, nesse contexto, torna-se crucial. Segundo o texto:;A competência técnica é irrelevante para o sucesso de projetos.;A comunicação clara é um elemento secundário no ambiente corporativo.;Ruídos na comunicação podem comprometer a execução de projetos.;A assertividade é um obstáculo para a transmissão de ideias.;;c;Correto. O texto afirma que muitos projetos falham por ruídos na comunicação.;"Atenção aos termos-chave: \""desafios\"", \""falham\"", \""ruídos\"", \""crucial\"".";N/A
Língua Portuguesa;Pontuação;Médio;Assinale a alternativa em que o uso da vírgula está INCORRETO:;O gerente, após analisar os relatórios, tomou a decisão.;Oferecemos cursos de inglês, espanhol, e francês.;Embora chegasse atrasado, conseguiu fechar o negócio.;Ele, que sempre foi pontual, surpreendeu a todos.;;b;"Correto. A vírgula antes do \""e\"" em enumeração é incorreta (não se separa o último termo de uma lista com vírgula antes do \""e\"").";"Lembre-se: na enumeração, não se usa vírgula antes do \""e\"" a menos que os termos sejam independentes.";N/A
Língua Portuguesa;Regência Verbal;Médio;Assinale a alternativa em que a regência verbal está de acordo com a norma padrão:;O cliente aspira uma vaga no mercado de trabalho.;Precisamos de obedecer às regras do edital.;Todos anseiam por melhores oportunidades.;A empresa remeteu os produtos ao cliente.;;c;"Correto. \""Ansiar\"" é verbo transitivo indireto, regido pela preposição \""por\"".";"Verbos de desejo como \""aspirar\"", \""ansiar\"", \""almejar\"" geralmente exigem preposição.";N/A
Língua Portuguesa;Crase;Médio;Assinale a alternativa em que o uso do acento indicativo de crase é OBRIGATÓRIO:;Refiro-me àquele documento importante.;Vamos à São Paulo na próxima semana.;Ele chegou às pressas para a reunião.;A reunião será às 14 horas.;;d;Correto. Antes de horas é obrigatório o uso do acento indicativo de crase.;"Antes de palavras femininas e indicação de horas, verifique se há a contração \""a + a\"".";N/A
Matemática;Funções;Fácil;Dada a função f(x) = 2x² - 3x + 1, qual é o valor de f(2)?;3;5;7;9;;a;Correto. f(2) = 2*(2)² - 32 + 1 = 24 - 6 + 1 = 8 - 6 + 1 = 3;Substitua x pelo valor dado (2) e calcule passo a passo.;f(x) = 2x² - 3x + 1
Matemática;Equações;Fácil;Qual é o conjunto solução da equação 2x - 4 = 3x + 1?;{-5};{5};{-3};{3};;a;Correto. 2x - 4 = 3x + 1 → 2x - 3x = 1 + 4 → -x = 5 → x = -5;Isole a incógnita x em um lado da equação.;2x - 4 = 3x + 1 → -x = 5 → x = -5
Matemática;Funções;Fácil;Seja f(x) = 3x - 1. Qual é a raiz da função?;1/3;-1/3;3;-3;;a;Correto. Raiz é quando f(x)=0: 3x - 1 = 0 → 3x = 1 → x = 1/3;Iguale a função a zero e resolva a equação.;f(x) = 0 quando 3x - 1 = 0
Matemática;Sistemas Lineares;Médio;Qual é a solução do sistema: 2x + y = 7 e x - y = 2?;(3,1);(1,3);(2,3);(3,2);;a;Correto. Somando as equações: 3x = 9 → x = 3. Substituindo: 3 - y = 2 → y = 1;Some as duas equações para eliminar y e encontrar x.;2x + y = 7, x - y = 2
Raciocínio Lógico;Lógica Proposicional;Fácil;"A negação de \""Todo bancário é pontual\"" é:";Nenhum bancário é pontual.;Algum bancário não é pontual.;Todo bancário não é pontual.;Algum bancário é pontual.;;b;"Correto. A negação de \""todo A é B\"" é \""algum A não é B\"".";"Para negar \""todo\"", basta encontrar um contraexemplo (\""algum... não\"").";N/A
Raciocínio Lógico;Raciocínio Sequencial;Médio;Qual é o próximo termo da sequência: 2, 6, 12, 20, 30, ...?;40;42;44;46;;b;Correto. As diferenças são 4,6,8,10, então próxima diferença é 12: 30+12=42;Analise as diferenças entre termos consecutivos.;Padrão: n×(n+1) onde n=1,2,3,...
Atualidades do Mercado Financeiro;Sistema Financeiro;Fácil;Qual é o principal índice de inflação monitorado pelo Banco Central para o regime de metas de inflação?;IPCA;INPC;IGP-M;IPCA-15;;a;Correto. O IPCA (Índice de Preços ao Consumidor Amplo) é o índice oficial para o regime de metas de inflação.;O Banco Central tem como meta oficial o IPCA.;N/A
Atualidades do Mercado Financeiro;Política Monetária;Médio;Quando o COPOM aumenta a taxa Selic, qual é o efeito esperado sobre a economia?;Estímulo ao consumo e ao crédito.;Contração da atividade econômica e controle inflacionário.;Desvalorização do câmbio.;Aumento imediato da inflação.;;b;Correto. A alta da Selic visa frear a demanda para controlar a inflação.;Selic alta = crédito caro = consumo reduzido = inflação controlada.;N/A
Matemática Financeira;Juros Simples;Fácil;Um capital de R$ 1.000,00 é aplicado a juros simples de 2% ao mês. Qual será o montante após 5 meses?;R$ 1.100,00;R$ 1.200,00;R$ 1.020,00;R$ 1.102,00;;a;Correto. J = C × i × t = 1000 × 0,02 × 5 = 100. M = C + J = 1000 + 100 = 1100;Juros simples: os juros são constantes a cada período.;J = C × i × t, M = C + J
Matemática Financeira;Juros Compostos;Médio;Qual o montante de R$ 2.000,00 aplicado a juros compostos de 3% ao mês por 2 meses?;R$ 2.120,00;R$ 2.121,80;R$ 2.060,00;R$ 2.180,00;;b;Correto. M = C × (1+i)^t = 2000 × (1,03)^2 = 2000 × 1,0609 = 2121,80;"Juros compostos: \""juros sobre juros\"". Use a fórmula do montante.";M = C × (1+i)^t
Conhecimentos Bancários;Sistema Financeiro Nacional;Fácil;Qual instituição é responsável pela supervisão do Sistema Financeiro Nacional?;Banco Central do Brasil;Comissão de Valores Mobiliários (CVM);Conselho Monetário Nacional (CMN);Superintendência de Seguros Privados (SUSEP);;a;Correto. O BACEN é o supervisor do SFN.;BACEN = executor e supervisor;CMN = formulador de políticas., N/A
Conhecimentos Bancários;Produtos Bancários;Fácil;Qual produto financeiro NÃO é considerado uma aplicação de renda fixa?;CDB;LCI;LCA;Ações;;d;Correto. Ações são investimentos de renda variável.;Renda fixa = retorno previsível;Renda variável = retorno incerto., N/A
Informática;Segurança da Informação;Fácil;Qual desses NÃO é um exemplo de malware?;Firewall;Vírus;Worm;Trojan;;a;Correto. Firewall é um sistema de segurança, não um malware.;Malware = software malicioso;Firewall = sistema de defesa., N/A
Informática;Planilhas Eletrônicas;Fácil;Na função =SE(A1>10;"\""Aprovado\""";"\""Reprovado\"") do Excel, o que acontece se A1 for igual a 15?";"Retorna \""Aprovado\""";"Retorna \""Reprovado\""";;c;"Correto. 15 > 10 é VERDADEIRO, então retorna o primeiro valor (\""Aprovado\"").";N/A;N/A
Vendas e Negociação;Técnicas de Vendas;Médio;Qual técnica de vendas envolve responder a uma objeção do cliente transformando-a em uma razão para comprar?;Método SPIN;Técnica do Feel-Felt-Found;Método LAER;Técnica da Boomerangue;;d;"Correto. A técnica da Boomerangue \""devolve\"" a objeção como benefício.";Boomerangue = devolver a objeção como vantagem.;N/A
Vendas e Negociação;Comportamento do Consumidor;Fácil;Na jornada de compra, qual etapa caracteriza o momento em que o cliente reconhece que tem um problema ou necessidade?;Consciência;Consideração;Decisão;Fidelização;;a;Correto. Fase inicial onde o cliente percebe uma necessidade.;Primeiro: perceber o problema;depois: buscar soluções., N/A
Psicologia;Gestão de Pessoas;Fácil;Qual teoria motivacional propõe que as pessoas são motivadas por cinco necessidades hierárquicas?;Teoria dos Dois Fatores (Herzberg);Teoria X e Y (McGregor);Hierarquia das Necessidades (Maslow);Teoria da Expectância (Vroom);;c;Correto. Maslow propõe a pirâmide com necessidades fisiológicas, segurança, sociais, estima e autorrealização.;Pirâmide de Maslow: base (fisiológicas) até topo (autorrealização).;N/A
Psicologia;Saúde Mental;Médio;Qual é um sintoma característico da Síndrome de Burnout?;Aumento da produtividade;Sentimentos de energia e realização;Exaustão emocional e cinismo;Humor elevado e eufórico;;c;Correto. A tríade do Burnout é exaustão, cinismo e redução da eficácia profissional.;Burnout está relacionado ao estresse crônico no trabalho.;N/A
Matemática;Funções Quadráticas;Médio;Qual é o vértice da parábola definida por f(x) = x² - 4x + 3?;(2, -1);(-2, 15);(1, 0);(4, 3);;a;Correto. Xv = -b/2a = 4/2 = 2;N/A;N/A
Raciocínio Lógico;Lógica de Argumentação;Difícil;"Considere o argumento: \""Todos os mamíferos têm pulmões. Alguns animais aquáticos são mamíferos. Logo, alguns animais aquáticos têm pulmões.\"" Este argumento é:";Válido;Inválido;Indeterminado;Contraditório;;a;Correto. Segue a estrutura do silogismo válido: Todo M é P;N/A;N/A
Psicologia;Saúde Mental;Fácil;Uma característica fundamental de um ambiente de trabalho saudável é:;Cobrança excessiva de metas.;Estímulo à competitividade acima do bem-estar.;Valorização do equilíbrio entre as demandas e a qualidade de vida.;Foco exclusivo no resultado financeiro.;;c;D desconsidera questões humanas.;N/A;N/A
Psicologia;Saúde Mental;Fácil;O transtorno de ansiedade generalizada se caracteriza por:;Ansiedade restrita ao ambiente de trabalho.;Crises passageiras, com largo intervalo entre episódios.;Preocupação excessiva e persistente, mesmo sem motivo claro.;Impossibilidade de tratamento.;;c;C descreve corretamente as características.;Observe se a alternativa traz abrangência e persistência da ansiedade.;N/A
Psicologia (Gestão);Clima Organizacional;Fácil;O que melhor define o conceito de clima organizacional?;As regras formais e a estrutura hierárquica da empresa.;A percepção dos colaboradores sobre o ambiente de trabalho.;A estrutura física do local de trabalho.;A quantidade de benefícios oferecidos.;;b;Percepção dos colaboradores sobre ambiente é conceito correto.;Procure noção de percepção coletiva e ambiente interno.;N/A
Língua Portuguesa;Colocação Pronominal;Médio;Assinale a alternativa em que a colocação do pronome oblíquo átono está INCORRETA:;Não lhe direi a verdade.;Me empresta o livro.;Quero contar-lhe um segredo.;Haviam-no chamado para a festa.;;b;Incorreto. Não se inicia frase com pronome oblíquo átono (correto: Empresta-me).;Regra geral: evite iniciar frases com 'me', 'te', 'se', 'lhe', 'o', 'a', 'nos', 'vos'.;N/A
Direito Administrativo;Contratos Administrativos;Médio;Uma das características dos contratos administrativos é a presença de 'cláusulas exorbitantes'. Qual das seguintes NÃO é uma cláusula exorbitante?;Exigência de garantia.;Aplicação de sanções.;Alteração unilateral do contrato.;Rescisão unilateral.;;a;Correto. Exigência de garantia é comum também em contratos privados.;Cláusulas exorbitantes dão prerrogativas à Administração que não existem em contratos privados.;N/A
Raciocínio Lógico;Verdades e Mentiras;Difícil;Três suspeitos, A, B e C, são interrogados. A diz: 'B mente'. B diz: 'C mente'. C diz: 'A e B mentem'. Sabendo que apenas um deles diz a verdade, quem diz a verdade?;A;B;C;Impossível determinar.;;b;Se B fala a verdade, C mente. Se C mente, é falso que 'A e B mentem' (pelo menos um fala a verdade). Como B fala a verdade, A deve mentir. Isso é consistente.;N/A;N/A
Direito Constitucional;Direitos Sociais;Fácil;Qual dos seguintes direitos NÃO está expressamente previsto no Art. 6º da Constituição Federal como um direito social?;Moradia;Transporte;Meio ambiente equilibrado;Lazer;;c;Correto. Meio ambiente equilibrado é um direito fundamental (Art. 225), mas não listado no Art. 6º.;Leia atentamente o Art. 6º da CF/88.;Art. 6º da CF/88
Matemática;Álgebra (Produtos Notáveis);Fácil;O produto notável (a + b)² é igual a:;a² + b²;a² - b²;a² + 2ab + b²;a² - 2ab + b²;;c;Correto. É o 'quadrado do primeiro, mais duas vezes o primeiro pelo segundo, mais o quadrado do segundo'.;Lembre-se da regra ou faça a distributiva: (a+b)(a+b) = aa + ab + ba + bb.;(a + b)² = a² + 2ab + b²
Psicologia (Gestão);Recrutamento e Seleção;Fácil;O tipo de entrevista em que o entrevistador faz perguntas padronizadas, na mesma ordem, para todos os candidatos, é chamado de:;Entrevista não estruturada;Entrevista semiestruturada;Entrevista estruturada;Entrevista por competências;;c;Correto. Estruturada segue um roteiro rígido para garantir comparação.;Estruturada = Rígida, Padronizada.;N/A
Atualidades;Política Brasileira;Fácil;Em 2024, qual estado brasileiro foi severamente afetado por enchentes históricas, mobilizando grande ajuda nacional?;Santa Catarina;Rio Grande do Sul;Bahia;Minas Gerais;;b;Correto. O Rio Grande do Sul enfrentou a maior catástrofe climática de sua história em 2024.;Eventos climáticos extremos têm sido recorrentes no Brasil.;N/A
Língua Portuguesa;Conjunções;Fácil;Qual conjunção introduz uma ideia de CONCLUSÃO?;Embora;Portanto;Contudo;Ou;;b;Correto. 'Portanto', 'logo', 'assim', 'então' são conclusivas.;Pense: 'Estudei muito, PORTANTO, fui aprovado' (conclusão).;N/A
Direito Administrativo;Organização Administrativa;Médio;Uma autarquia, como o INSS ou o IBAMA, faz parte da:;Administração Direta;Administração Indireta;Iniciativa Privada;Terceiro Setor;;b;Correto. Administração Indireta compreende as entidades com personalidade jurídica própria criadas pelo Estado (Autarquias, Fundações Públicas, Empresas Públicas, Sociedades de Economia Mista).;Indireta = Entidades criadas pelo Estado, mas com 'vida própria' (CNPJ próprio).;N/A
Raciocínio Lógico;Implicação Lógica;Médio;Se a proposição 'P -> Q' (Se P, então Q) é FALSA, podemos concluir que:;P é V e Q é V;P é V e Q é F;P é F e Q é V;P é F e Q é F;;b;Correto. A única forma de uma condicional ser falsa é se a primeira parte (P) for Verdadeira e a segunda (Q) for Falsa (Regra do 'Vera Fischer').;Lembre-se da regra 'V -> F = F'. Todas as outras combinações dão V.;N/A
Direito Constitucional;Teoria da Constituição;Médio;O poder que elabora uma nova Constituição, rompendo com a ordem jurídica anterior, é chamado de:;Poder Constituinte Derivado Reformador;Poder Constituinte Derivado Decorrente;Poder Constituinte Originário;Poder Constituinte Difuso;;c;Correto. Originário (ou de 1º grau) é o que cria a Constituição.;Originário = Cria a Constituição. Derivado = Modifica a Constituição.;N/A
Matemática;Análise Combinatória;Difícil;De quantas maneiras diferentes 3 pessoas podem sentar em 5 cadeiras?;6;10;15;60;;d;Correto. É um arranjo (a ordem importa). A(n, p) = n! / (n-p)! = 5! / (5-3)! = 5! / 2! = (5*4*3*2*1) / (2*1) = 120 / 2 = 60.;Como a ordem das pessoas nas cadeiras importa, usamos Arranjo.;A(n, p) = n! / (n-p)!
Psicologia (Saúde);Desenvolvimento Humano (Piaget);Médio;Segundo Jean Piaget, o estágio do desenvolvimento cognitivo em que a criança começa a usar a lógica para eventos concretos e entende a conservação de quantidade é o:;Sensório-motor;Pré-operatório;Operatório Concreto;Operatório Formal;;c;Correto. Operatório Concreto (7-11 anos) marca o início do pensamento lógico aplicado a objetos concretos.;Concreto = Lógica aplicada ao que se pode ver e tocar.;N/A
Atualidades;Sustentabilidade;Fácil;Os Objetivos de Desenvolvimento Sustentável (ODS) são uma agenda global adotada pela ONU. Quantos ODS existem?;10;15;17;20;;c;Correto. São 17 ODS que abordam temas como erradicação da pobreza, fome zero, saúde, educação, igualdade de gênero, água limpa, energia acessível, etc., a serem alcançados até 2030.;Os ODS são a Agenda 2030 da ONU.;N/A
Língua Portuguesa;Morfologia (Classes de Palavras);Fácil;Na frase 'O rápido atleta venceu a corrida facilmente', as palavras 'rápido' e 'facilmente' são, respectivamente:;Adjetivo e Advérbio;Advérbio e Adjetivo;Substantivo e Advérbio;Adjetivo e Verbo;;a;Correto. 'Rápido' caracteriza 'atleta' (substantivo), logo é adjetivo. 'Facilmente' modifica o modo como 'venceu' (verbo), logo é advérbio.;Adjetivo = Qualidade do substantivo. Advérbio = Circunstância do verbo, adjetivo ou outro advérbio.;N/A
Direito Administrativo;Controle da Administração;Médio;O controle exercido por um órgão sobre seus próprios atos (ex: revogação ou anulação pela própria autoridade que praticou o ato) é chamado de:;Controle Externo;Controle Judicial;Autotutela;Tutela;;c;Correto. Autotutela é o poder-dever da Administração de controlar seus próprios atos (anular ilegais, revogar inconvenientes).;Auto = Próprio. Tutela = Controle.;Súmulas 346 e 473 do STF
Raciocínio Lógico;Quantificadores Lógicos;Difícil;Qual é a negação de '∃x (P(x) ^ Q(x))' (Existe algum x tal que P(x) E Q(x))?;∀x (~P(x) ^ ~Q(x));∀x (P(x) -> ~Q(x));∀x (~P(x) v ~Q(x));∃x (~P(x) v ~Q(x));;c;Correto. Negação de 'Existe' é 'Para Todo'. Negação de 'E' (^) é 'OU' (v). E nega-se as proposições internas. ∀x (~P(x) v ~Q(x)).;Negação de ∃x, A(x) = ∀x, ~A(x). Use De Morgan para negar a conjunção.;N/A
Direito Constitucional;Poder Judiciário;Médio;A competência para processar e julgar, originariamente, o Presidente da República nos crimes de responsabilidade é do(a):;Supremo Tribunal Federal (STF);Superior Tribunal de Justiça (STJ);Senado Federal;Câmara dos Deputados;;c;Correto. O Senado Federal processa e julga o Presidente nos crimes de responsabilidade, após autorização da Câmara (processo de Impeachment).;Impeachment = Autorização (Câmara) + Julgamento (Senado).;Art. 52, I e Art. 86 da CF/88
Matemática;Progressão Aritmética (PA);Fácil;Qual é o 10º termo de uma PA cujo primeiro termo (a1) é 3 e a razão (r) é 4?;36;39;43;47;;b;Correto. an = a1 + (n-1)*r => a10 = 3 + (10-1)4 = 3 + 94 = 3 + 36 = 39.;Use a fórmula do termo geral da PA.;an = a1 + (n-1)*r
Psicologia (Saúde);Psicologia Hospitalar;Fácil;Qual o principal objetivo da Psicologia Hospitalar?;Diagnosticar transtornos mentais no hospital.;Oferecer psicoterapia de longo prazo aos pacientes.;Atuar nos aspectos psicológicos relacionados ao adoecimento e hospitalização.;Administrar a equipe de enfermagem.;;c;Correto. Abrange o paciente, a família e a equipe de saúde.;Foco no impacto psicológico da doença e internação.;N/A
Atualidades;Cultura Digital;Fácil;O termo usado para descrever notícias falsas ou enganosas, criadas deliberadamente para desinformar ou obter ganhos, é:;Clickbait;Phishing;Fake News;Spam;;c;Correto. Fake News é a disseminação intencional de desinformação.;Fake News = Notícia Falsa.;N/A
Língua Portuguesa;Funções da Linguagem;Médio;Qual função da linguagem predomina em um manual de instruções, cujo objetivo principal é orientar o leitor a realizar uma ação?;Função Emotiva;Função Referencial;Função Conativa (ou Apelativa);Função Poética;;c;Correto. Conativa (ou Apelativa) foca no receptor, buscando influenciá-lo ou dar ordens (verbos no imperativo são comuns).;Manual = Ordem/Instrução = Foco no Receptor.;N/A
Direito Administrativo;Agentes Públicos;Médio;Um indivíduo que presta serviços ao Estado de forma transitória, sem vínculo empregatício, mediante convocação (ex: mesário eleitoral), é classificado como:;Servidor Público Estatutário;Empregado Público (Celetista);Agente Político;Agente Honorífico;;d;Correto. Agente Honorífico (ou 'munus público') exerce função pública relevante, geralmente sem remuneração e de forma transitória.;Honorífico = Presta uma honra (serviço cívico).;N/A
Raciocínio Lógico;Silogismos;Difícil;Considere as premissas: P1: Todos os cães são mamíferos. P2: Nenhum gato é cão. Qual conclusão pode ser logicamente derivada?;Nenhum gato é mamífero.;Algum gato é mamífero.;Algum mamífero não é gato.;Nenhuma conclusão válida pode ser derivada.;;d;Correto. O termo médio ('cães') está distribuído em P1 (sujeito de universal) mas não está distribuído em P2 (predicado de negativa), violando regra do silogismo. Não há conexão lógica entre 'gato' e 'mamífero' pelas premissas dadas.;O termo médio (o que se repete) precisa estar 'distribuído' (referir-se a todos os membros da classe) em pelo menos uma premissa.;N/A
Direito Constitucional;Direitos Políticos;Fácil;O alistamento eleitoral e o voto são ___ para os maiores de 18 anos no Brasil.;Obrigatórios;Facultativos;Proibidos;Obrigatórios apenas para homens.;;a;Correto. A CF/88 estabelece a obrigatoriedade.;Voto e Alistamento = Obrigatórios (18-70 anos).;Art. 14, § 1º, I da CF/88
Matemática;Trigonometria;Fácil;Em um triângulo retângulo, o cosseno de um ângulo agudo é definido como a razão entre:;Cateto Oposto e Hipotenusa;Cateto Adjacente e Hipotenusa;Cateto Oposto e Cateto Adjacente;Hipotenusa e Cateto Adjacente;;b;Correto. Cosseno = Cateto Adjacente / Hipotenusa.;Lembre-se do 'SOH CAH TOA': Seno=Oposto/Hipotenusa, Cosseno=Adjacente/Hipotenusa, Tangente=Oposto/Adjacente.;N/A
Psicologia (Saúde);Políticas Públicas de Saúde Mental;Médio;A Reforma Psiquiátrica no Brasil (Lei 10.216/2001) teve como um de seus principais objetivos:;Aumentar o número de hospitais psiquiátricos.;Substituir o modelo hospitalocêntrico por uma rede de atenção psicossocial (RAPS).;Proibir o uso de medicamentos psicotrópicos.;Privatizar todos os serviços de saúde mental.;;b;Correto. A lei buscou criar serviços comunitários (CAPS, residências terapêuticas) para substituir o hospital como centro do tratamento.;A Reforma buscou um tratamento mais humanizado e na comunidade.;Lei 10.216/2001
Atualidades;Inteligência Artificial;Fácil;O campo da Inteligência Artificial que se concentra em treinar máquinas para aprenderem padrões a partir de dados, sem serem explicitamente programadas, é chamado de:;Processamento de Linguagem Natural (PLN);Visão Computacional;Aprendizado de Máquina (Machine Learning);Sistemas Especialistas;;c;Correto. Machine Learning é sobre algoritmos que 'aprendem' com dados.;Machine Learning = Aprender com Dados.;N/A
Língua Portuguesa;Orações Coordenadas;Fácil;A oração 'Estudei bastante, logo fui aprovado' classifica-se como:;Coordenada Sindética Aditiva;Coordenada Sindética Adversativa;Coordenada Sindética Conclusiva;Coordenada Sindética Explicativa;;c;Correto. 'Logo', 'portanto', 'assim' introduzem uma conclusão da oração anterior.;A segunda oração ('fui aprovado') é uma consequência lógica da primeira.;N/A
Direito Administrativo;Processo Administrativo (Lei 9.784);Médio;Qual o prazo geral, segundo a Lei 9.784/99, para a Administração Pública decidir sobre um requerimento ou solicitação do administrado, salvo disposição específica?;10 dias;15 dias;30 dias;60 dias;;c;Correto. O Art. 49 da Lei 9.784/99 estabelece o prazo de 30 dias.;Dica: Lei 9.784/99, Art. 49.;N/A
Raciocínio Lógico;Estruturas Lógicas;Médio;Se 'Nenhum A é B', qual das seguintes afirmações é necessariamente verdadeira?;Todo B é A.;Algum A é B.;Algum A não é B.;Todo A não é B.;;d;Correto. 'Nenhum A é B' é equivalente a 'Todo A não é B' (ou 'Todo A é não-B').;Pense em diagramas de Venn: o conjunto A e o conjunto B são disjuntos (separados).;N/A
Direito Constitucional;Direitos Políticos;Fácil;Qual a idade mínima para se candidatar ao cargo de Presidente da República no Brasil?;21 anos;30 anos;35 anos;40 anos;;c;Correto. Presidente, Vice-Presidente e Senador exigem 35 anos.;Decore as idades mínimas para cada cargo eletivo.;Art. 14, § 3º, VI, a) da CF/88
Matemática;Progressão Geométrica (PG);Médio;Qual é o 5º termo de uma PG cujo primeiro termo (a1) é 2 e a razão (q) é 3?;48;81;162;243;;c;Correto. an = a1 * q^(n-1) => a5 = 2 * 3^(5-1) = 2 * 3^4 = 2 * 81 = 162.;Use a fórmula do termo geral da PG.;an = a1 * q^(n-1)
Psicologia (Saúde);Teorias da Personalidade;Médio;Qual teórico da personalidade é conhecido por introduzir os conceitos de 'Arquétipos' e 'Inconsciente Coletivo'?;Sigmund Freud;Carl Rogers;B.F. Skinner;Carl Jung;;d;Correto. Jung, discípulo dissidente de Freud, desenvolveu a Psicologia Analítica com esses conceitos.;Arquétipos = Imagens primordiais universais. Inconsciente Coletivo = Herança psíquica da humanidade.;N/A
Atualidades;Economia Brasileira;Fácil;O sistema de pagamentos instantâneos brasileiro, que permite transferências e pagamentos 24/7, é conhecido como:;TED;DOC;PIX;Boleto;;c;Correto. PIX é o sistema de pagamentos instantâneos do Banco Central.;PIX revolucionou os pagamentos no Brasil.;N/A
Língua Portuguesa;Concordância Nominal;Médio;Assinale a alternativa em que a concordância nominal está INCORRETA:;Comprei bastantes livros.;As alunas mesmas fizeram o trabalho.;É proibido entrada de estranhos.;Seguem anexas as planilhas.;;c;Correto. A expressão 'É proibido' só varia se o sujeito tiver artigo (seria 'É proibida A entrada'). Sem artigo, fica invariável no masculino.;Regra do 'É proibido/bom/necessário': só varia se o sujeito tiver artigo definido.;N/A
Direito Administrativo;Controle da Administração;Médio;O controle que visa verificar a legitimidade e a economicidade dos atos administrativos, exercido principalmente pelos Tribunais de Contas, é o controle:;Legislativo;Judicial;Interno;Externo (Financeiro);;d;Correto. O Tribunal de Contas (órgão auxiliar do Legislativo) exerce o controle externo com foco financeiro, contábil, orçamentário, operacional e patrimonial.;Tribunal de Contas = Controle Externo Financeiro.;Art. 70 e 71 da CF/88
Raciocínio Lógico;Estruturas Lógicas;Médio;Se a afirmação 'Alguns A são B' é VERDADEIRA, o que podemos concluir sobre 'Nenhum A é B'?;É necessariamente verdadeira.;É necessariamente falsa.;Pode ser verdadeira ou falsa.;É indeterminada.;;b;Correto. 'Algum A é B' e 'Nenhum A é B' são contraditórias. Se uma é V, a outra tem que ser F.;Relações no Quadro de Oposição: 'A' (Todo) vs 'O' (Algum não) são contraditórias. 'E' (Nenhum) vs 'I' (Algum) são contraditórias.;N/A
Direito Constitucional;Habeas Corpus;Fácil;O Habeas Corpus pode ser impetrado por:;Apenas advogado.;Apenas o Ministério Público.;Qualquer pessoa física, em favor próprio ou de outrem.;Apenas a Defensoria Pública.;;c;Correto. Qualquer pessoa (até estrangeiro, analfabeto, menor) pode impetrar HC, inclusive o próprio paciente.;HC é uma ação popular gratuita para proteger a liberdade de ir e vir.;Art. 5º, LXVIII da CF/88
Matemática;Razão e Proporção;Fácil;Numa turma de 40 alunos, 15 são meninas. Qual a razão entre o número de meninos e o número total de alunos?;15/40;25/40;15/25;25/15;;b;Correto. Meninos = Total - Meninas = 40 - 15 = 25. Razão = Meninos / Total = 25/40 (que pode ser simplificado para 5/8).;Leia atentamente o que a questão pede (meninos / total).;N/A
Psicologia (Gestão);Treinamento e Desenvolvimento;Fácil;O processo de identificar as necessidades de treinamento em uma organização, comparando o desempenho atual com o desempenho desejado, é chamado de:;Avaliação de Desempenho;Levantamento de Necessidades de Treinamento (LNT);Desenho Instrucional;Avaliação de Reação;;b;Correto. O LNT é a primeira etapa do ciclo de T&D, focada em diagnosticar onde o treinamento é necessário.;LNT = Diagnóstico (Onde treinar?).;N/A
Atualidades;Sociedade;Médio;O conceito sociológico que descreve a perda de influência das instituições e crenças religiosas na vida social é chamado de:;Fundamentalismo;Secularização;Globalização;Sincretismo;;b;Correto. Secularização é o processo de 'separação' entre religião e outras esferas da sociedade (política, ciência, etc.).;Secular = Não-religioso, mundano.;N/A
Língua Portuguesa;Verbos (Modos e Tempos);Médio;Em 'Se eu tivesse dinheiro, viajaria', os verbos destacados estão, respectivamente, no:;Pretérito Imperfeito do Indicativo e Futuro do Pretérito do Indicativo;Pretérito Imperfeito do Subjuntivo e Futuro do Pretérito do Indicativo;Futuro do Subjuntivo e Futuro do Presente do Indicativo;Pretérito Perfeito do Indicativo e Presente do Indicativo;;b;Correto. 'Tivesse' indica uma condição hipotética no passado (Imperfeito do Subjuntivo). 'Viajaria' indica uma consequência dessa hipótese (Futuro do Pretérito do Indicativo).;Orações condicionais com 'Se' geralmente usam Imperfeito do Subjuntivo + Futuro do Pretérito.;N/A
Direito Administrativo;Licitações (Lei 14.133);Médio;Na Nova Lei de Licitações (14.133/21), qual o prazo mínimo de validade das propostas, contado da data de sua apresentação, salvo disposição em contrário no edital?;30 dias;45 dias;60 dias;90 dias;;c;Correto. O Art. 90, § 3º estabelece o prazo mínimo de 60 dias.;É um prazo padrão importante.;Art. 90, § 3º da Lei 14.133/21
Raciocínio Lógico;Lógica de Primeira Ordem;Fácil;A sentença 'x é maior que 5' é considerada:;Uma proposição verdadeira.;Uma proposição falsa.;Uma proposição composta.;Uma sentença aberta (ou função proposicional).;;d;Correto. Como o valor lógico (V ou F) depende do valor da variável 'x', ela é uma sentença aberta, não uma proposição.;Sentença Aberta = Depende de uma variável. Proposição = Tem valor V ou F definido.;N/A
